TrialNo,Type,Treatment,Order,FishID,TL,FL,Date,AcTime_min,JwatcherTime,TimePos,TimeNon,TimeNeg,PropPos,PropNon,PropNeg,PosToNeg,NegToPos,PosToNegPerMinute,NegToPosPerMinute,Reviewer,TapeNo,Notes
20,with,A,2,27,54.5,48.5,8/22/05,NA,8.49737,5.10273,2.60682,0.78782,0.60051,0.30678,0.09271,3,3,0.353050553,0.353050553,SG,14,
20,with,D,3,27,54.5,48.5,8/22/05,35.00,11.20245,9.84217,1.27643,0.08385,0.87857,0.11394,0.00748,2,2,0.178532375,0.178532375,SG,14,
20,with,L,4,27,54.5,48.5,8/23/05,28.00,11.02915,10.99035,0.03880,0.00000,0.99648,0.00352,0.00000,0,0,0,0,SG,15,
21,with,L,1,41,52.5,46,8/22/05,38.00,10.76242,10.58163,0.08720,0.09358,0.98320,0.00810,0.00870,2,2,0.185831869,0.185831869,SG,13,
21,with,A,2,41,52.5,46,8/22/05,20.00,8.48967,2.11140,2.28587,4.09240,0.24870,0.26925,0.48204,23,24,2.709175861,2.826966116,SG,14,
21,with,D,3,41,52.5,46,8/22/05,NA,10.99315,9.27622,1.56365,0.15328,0.84382,0.14224,0.01394,3,3,0.272897213,0.272897213,SG,14,
21,with,B,4,41,52.5,46,8/23/05,NA,8.46843,3.01942,3.08457,2.36445,0.35655,0.36424,0.27921,14,15,1.653198348,1.771283945,SG,15,
22,with,L,1,48,53,47,8/23/05,50.00,12.03240,8.70047,8.99415,2.88372,0.74749,0.23966,0.01284,2,2,0.166217878,0.166217878,SG,15,
22,with,D,2,48,53,47,8/23/05,38.00,11.88230,6.14878,5.29990,0.43362,0.51747,0.44603,0.03649,6,6,0.504952745,0.504952745,SS,15,
22,with,A,3,48,53,47,8/24/05,NA,9.34502,2.67743,5.91607,0.75152,0.28651,0.63307,0.08042,14,15,1.498124669,1.605133574,SS,16,
22,with,B,4,48,53,47,8/24/05,31.00,9.49442,2.35862,4.63742,2.49838,0.24842,0.48844,0.26314,20,20,2.106501189,2.106501189,SS,16,
23,with,D,1,18,54,48,8/23/05,20.00,11.87232,9.40200,2.24018,0.23013,0.79193,0.18869,0.01938,1,1,0.084229559,0.084229559,SS,15,
23,with,B,2,18,54,48,8/24/05,38.00,9.51465,1.53583,6.92315,1.05567,0.16142,0.72763,0.11095,3,3,0.315303243,0.315303243,SS,16,
23,with,A,3,18,54,48,8/24/05,20.00,9.54062,1.04102,7.09055,1.40905,0.10911,0.74320,0.14769,5,6,0.524075138,0.628890166,SS,16,
23,with,L,4,18,54,48,8/24/05,15.00,12.48793,10.08083,2.19642,0.21068,0.80725,0.17588,0.01687,3,4,0.240231904,0.320309205,SS,16,
24,with,D,1,7,54,47.5,8/23/05,26.00,11.12947,8.52432,2.34350,0.26165,0.76592,0.21057,0.02351,4,7,0.359406261,0.628960956,SS,16,
